Number,Trigger,eventCategory,eventAction,eventLabel
1,Click on the Explainers drop-down on the top of page navigation (ribbon),Fiscal Data - Sitewide Navigation,Topics Click,<title of explainer / insight page selected>
2,"Click on link to Debt to the Penny within the ""What is the national debt?"" section",Fiscal Data - Explainers,Citation Click,Debt - What is the national debt?
3,"Click on ""Key Takeaways"" in left navigation bar",Fiscal Data - Explainers,Left Nav Click,Debt - Key Takeaways
4,"Click on ""The National Debt Explained"" in left navigation bar",Fiscal Data - Explainers,Left Nav Click,Debt - The National Debt Explained
5,"Click on ""Funding Programs & Services"" in left navigation bar",Fiscal Data - Explainers,Left Nav Click,Debt - Funding Programs & Services
6,"Click on ""The Growing National Debt"" in left navigation bar",Fiscal Data - Explainers,Left Nav Click,Debt - The Growing National Debt
7,"Click on ""Breaking Down the Debt"" in left navigation bar",Fiscal Data - Explainers,Left Nav Click,Debt - Breaking Down the Debt
8,"Click on ""The Debt Ceiling"" in left navigation bar",Fiscal Data - Explainers,Left Nav Click,Debt - The Debt Ceiling
9,"Click on ""Tracking the Debt"" in left navigation bar",Fiscal Data - Explainers,Left Nav Click,Debt - Tracking the Debt
10,"Click on ""Dive Deeper into the Debt"" in left navigation bar",Fiscal Data - Explainers,Left Nav Click,Debt - Dive Deeper into the Debt
11,"Expand the accordion labeled ""What are the major spending categories?""",Fiscal Data - Explainers,Accordion Expand Click,Debt - What are the major spending categories?
12,"Collapse the accordion labeled ""What are the major spending categories?""",Fiscal Data - Explainers,Accordion Collapse Click,Debt - What are the major spending categories?
13,Click on link to USAspending.gov,Fiscal Data - Explainers,Citation Click,Debt - Funding Programs & Services
14,"Hover (>= 3 secs) over chart data points for ""U.S. Federal Debt Trends Over the Last 100 Years""",Fiscal Data - Explainers,Chart Hover,Debt - U.S. Federal Debt Trends Over the Last 100 Years
15,Click on link to Historical Debt Outstanding dataset,Fiscal Data - Explainers,Citation Click,Debt - U.S. Federal Debt Trends Over the Last 100 Years
16,Click on link to Bureau of Labor Statistics,Fiscal Data - Explainers,Citation Click,Debt - U.S. Federal Debt Trends Over the Last 100 Years
17,"Hover (>= 3 secs) over chart data points for ""Federal Debt Trends Over Time, 1948 - 2021""",Fiscal Data - Explainers,Chart Hover,Debt - Federal Debt Trends Over Time
18,Click on link to Historical Debt Outstanding dataset,Fiscal Data - Explainers,Citation Click,Debt - Federal Debt Trends Over Time
