"Description","Amount","Source"
"US Investors",9366979625800,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/detail-of-non-marketable-treasury-securities-outstanding"
"Federal Reserve",5366849604200,"https://www.newyorkfed.org/markets/soma-holdings"
"Social Security",2853816941000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/detail-of-non-marketable-treasury-securities-outstanding"
"Department of Defense",1322746495567,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/detail-of-non-marketable-treasury-securities-outstanding"
"Japan",1299615000000,"https://home.treasury.gov/data/treasury-international-capital-tic-system-home-page/tic-forms-instructions/securities-b-portfolio-holdings-of-us-and-foreign-securities"
"China",1047573000000,"https://home.treasury.gov/data/treasury-international-capital-tic-system-home-page/tic-forms-instructions/securities-b-portfolio-holdings-of-us-and-foreign-securities"
"Civil Service Retirement And Disability Fund",919792985000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/detail-of-non-marketable-treasury-securities-outstanding"
"United Kingdom",566498000000,"https://home.treasury.gov/data/treasury-international-capital-tic-system-home-page/tic-forms-instructions/securities-b-portfolio-holdings-of-us-and-foreign-securities"
"Luxembourg",311847000000,"https://home.treasury.gov/data/treasury-international-capital-tic-system-home-page/tic-forms-instructions/securities-b-portfolio-holdings-of-us-and-foreign-securities"
"Ireland",309443000000,"https://home.treasury.gov/data/treasury-international-capital-tic-system-home-page/tic-forms-instructions/securities-b-portfolio-holdings-of-us-and-foreign-securities"
